sale_id,sale_date,store_id,product_id,customer_id,qty,unit_price,total_amount,payment_type,city_id,city_name,product_name,category,month,price_band
19,01-02-2023,8,2,5219,1,180,180,"UPI",1,Mumbai,Cappuccino,latte,2023-02,150-300
20,26-03-2025,49,8,45801,1,150,150,"Card",5,Ahmedabad,Filter Coffee,filter,2025-03,100-150
21,26-07-2024,138,11,5168,2,190,380,"Card",19,Vadodara,Flat White,latte,2024-07,150-300
22,13-09-2025,39,6,5507,1,220,220,"Cash",4,Hyderabad,Iced Americano,espresso,2025-09,150-300
23,24-04-2025,75,5,697,1,80,80,"UPI",8,Kolkata,Instant Coffee Sachet,instant,2025-04,50-100
24,15-06-2023,139,8,4279,3,150,450,"UPI",20,Varanasi,Filter Coffee,filter,2023-06,100-150
25,12-10-2024,45,5,348,1,80,80,"Card",4,Hyderabad,Instant Coffee Sachet,instant,2024-10,50-100
26,05-01-2025,130,7,362,1,210,210,"UPI",18,Patna,Mocha,latte,2025-01,150-300
27,22-02-2023,67,4,5216,1,250,250,"UPI",8,Kolkata,Cold Brew,filter,2023-02,150-300
28,09-03-2024,133,5,3320,1,80,80,"UPI",19,Vadodara,Instant Coffee Sachet,instant,2024-03,50-100
29,08-11-2024,106,3,4192,1,200,200,"UPI",13,Nagpur,Café Latte,latte,2024-11,150-300
30,15-05-2025,13,6,1395,2,220,440,"UPI",2,Delhi,Iced Americano,espresso,2025-05,150-300
31,17-10-2024,11,9,5121,1,230,230,"UPI",1,Mumbai,Affogato,espresso,2024-10,150-300
32,14-04-2023,62,7,5032,1,210,210,"Card",7,Chennai,Mocha,latte,2023-04,150-300
33,12-04-2023,5,10,4308,1,90,90,"UPI",1,Mumbai,Instant Strong Coffee,instant,2023-04,50-100
34,16-05-2023,69,1,44979,2,120,240,"UPI",8,Kolkata,Espresso Shot,espresso,2023-05,100-150
35,13-02-2024,136,2,45360,3,180,540,"Card",19,Vadodara,Cappuccino,latte,2024-02,150-300
36,29-10-2025,67,11,5274,1,190,190,"Cash",8,Kolkata,Flat White,latte,2025-10,150-300
37,09-07-2024,128,4,3098,2,250,500,"UPI",18,Patna,Cold Brew,filter,2024-07,150-300
38,07-01-2025,17,7,1269,1,210,210,"UPI",2,Delhi,Mocha,latte,2025-01,150-300
39,15-09-2024,103,10,5948,1,90,90,"Card",12,Kanpur,Instant Strong Coffee,instant,2024-09,50-100
40,26-02-2025,79,7,170,1,210,210,"UPI",9,Surat,Mocha,latte,2025-02,150-300
41,13-01-2024,34,6,4329,1,220,220,"UPI",3,Bengaluru,Iced Americano,espresso,2024-01,150-300
42,02-08-2023,65,2,335,2,180,360,"UPI",7,Chennai,Cappuccino,latte,2023-08,150-300
43,07-07-2023,100,3,3062,2,200,400,"Cash",12,Kanpur,Café Latte,latte,2023-07,150-300
44,07-02-2023,11,3,1877,2,200,400,"UPI",1,Mumbai,Café Latte,latte,2023-02,150-300
45,09-09-2023,140,11,1571,4,190,760,"Cash",20,Varanasi,Flat White,latte,2023-09,150-300
46,15-05-2023,6,11,3091,1,190,190,"Card",1,Mumbai,Flat White,latte,2023-05,150-300
47,05-06-2025,75,9,4345,1,230,230,"Cash",8,Kolkata,Affogato,espresso,2025-06,150-300
48,18-10-2023,58,12,1978,1,240,240,"Card",6,Pune,Caramel Macchiato,latte,2023-10,150-300
49,29-10-2025,46,5,1100,1,80,80,"Cash",5,Ahmedabad,Instant Coffee Sachet,instant,2025-10,50-100
50,02-11-2023,16,11,308,1,190,190,"Card",2,Delhi,Flat White,latte,2023-11,150-300
51,23-11-2024,75,4,1771,1,250,250,"Card",8,Kolkata,Cold Brew,filter,2024-11,150-300
52,22-10-2025,91,4,2112,1,250,250,"Cash",10,Jaipur,Cold Brew,filter,2025-10,150-300
53,28-04-2025,32,7,1159,2,210,420,"UPI",3,Bengaluru,Mocha,latte,2025-04,150-300
54,02-08-2024,117,9,1014,1,230,230,"Card",15,Bhopal,Affogato,espresso,2024-08,150-300
55,15-05-2025,51,4,5169,1,250,250,"Card",6,Pune,Cold Brew,filter,2025-05,150-300
56,13-02-2024,35,7,1850,1,210,210,"UPI",4,Hyderabad,Mocha,latte,2024-02,150-300
57,12-01-2025,9,12,688,3,240,720,"Card",1,Mumbai,Caramel Macchiato,latte,2025-01,150-300
58,14-04-2023,130,8,2683,5,150,750,"UPI",18,Patna,Filter Coffee,filter,2023-04,100-150
59,16-10-2025,129,7,5901,2,210,420,"Cash",18,Patna,Mocha,latte,2025-10,150-300
60,16-10-2023,3,3,218,5,200,1000,"UPI",1,Mumbai,Café Latte,latte,2023-10,150-300
61,23-06-2025,28,6,918,1,220,220,"Cash",3,Bengaluru,Iced Americano,espresso,2025-06,150-300
62,03-10-2024,135,1,3091,1,120,120,"Card",19,Vadodara,Espresso Shot,espresso,2024-10,100-150
63,29-06-2023,128,5,4884,1,80,80,"Card",18,Patna,Instant Coffee Sachet,instant,2023-06,50-100
64,19-05-2025,107,1,45669,1,120,120,"UPI",13,Nagpur,Espresso Shot,espresso,2025-05,100-150
65,03-03-2023,89,3,45030,1,200,200,"Card",10,Jaipur,Café Latte,latte,2023-03,150-300
66,27-12-2023,32,9,4711,1,230,230,"Card",3,Bengaluru,Affogato,espresso,2023-12,150-300
67,11-11-2023,58,4,3911,1,250,250,"UPI",6,Pune,Cold Brew,filter,2023-11,150-300
68,17-08-2023,36,7,5923,1,210,210,"UPI",4,Hyderabad,Mocha,latte,2023-08,150-300
69,11-04-2024,130,3,3697,1,200,200,"UPI",18,Patna,Café Latte,latte,2024-04,150-300
70,26-07-2023,20,2,299,1,180,180,"Cash",2,Delhi,Cappuccino,latte,2023-07,150-300
71,29-08-2024,76,3,3337,4,200,800,"UPI",9,Surat,Café Latte,latte,2024-08,150-300
72,18-01-2023,94,11,2765,1,190,190,"Cash",11,Lucknow,Flat White,latte,2023-01,150-300
73,31-07-2024,110,7,45287,2,210,420,"Card",14,Indore,Mocha,latte,2024-07,150-300
74,04-04-2023,25,2,3495,2,180,360,"UPI",3,Bengaluru,Cappuccino,latte,2023-04,150-300
75,03-03-2025,11,4,45155,1,250,250,"Cash",1,Mumbai,Cold Brew,filter,2025-03,150-300
76,19-01-2023,93,7,4977,1,210,210,"Cash",11,Lucknow,Mocha,latte,2023-01,150-300
77,25-06-2023,7,7,3733,1,210,210,"Cash",1,Mumbai,Mocha,latte,2023-06,150-300
78,25-03-2025,55,2,45533,2,180,360,"UPI",6,Pune,Cappuccino,latte,2025-03,150-300
79,18-02-2024,88,6,3521,1,220,220,"UPI",10,Jaipur,Iced Americano,espresso,2024-02,150-300
80,28-06-2025,28,8,3976,1,150,150,"Card",3,Bengaluru,Filter Coffee,filter,2025-06,100-150
81,04-04-2025,37,10,4297,2,90,180,"UPI",4,Hyderabad,Instant Strong Coffee,instant,2025-04,50-100
82,14-01-2023,11,2,4543,1,180,180,"Card",1,Mumbai,Cappuccino,latte,2023-01,150-300
83,16-04-2024,115,4,1945,1,250,250,"Card",14,Indore,Cold Brew,filter,2024-04,150-300
84,01-08-2023,141,12,45102,1,240,240,"UPI",20,Varanasi,Caramel Macchiato,latte,2023-08,150-300
85,11-05-2024,60,11,5930,1,190,190,"UPI",7,Chennai,Flat White,latte,2024-05,150-300
86,14-01-2024,95,8,148,1,150,150,"UPI",11,Lucknow,Filter Coffee,filter,2024-01,100-150
87,16-01-2025,95,10,532,2,90,180,"UPI",11,Lucknow,Instant Strong Coffee,instant,2025-01,50-100
88,28-11-2023,47,1,3712,5,120,600,"Card",5,Ahmedabad,Espresso Shot,espresso,2023-11,100-150
89,21-10-2023,43,7,5785,1,210,210,"Cash",4,Hyderabad,Mocha,latte,2023-10,150-300
90,28-10-2025,108,10,3080,2,90,180,"Card",13,Nagpur,Instant Strong Coffee,instant,2025-10,50-100
91,07-01-2025,142,11,4918,2,190,380,"Card",20,Varanasi,Flat White,latte,2025-01,150-300
92,12-01-2025,117,2,45423,1,180,180,"Card",15,Bhopal,Cappuccino,latte,2025-01,150-300
93,13-01-2025,94,10,4660,1,90,90,"UPI",11,Lucknow,Instant Strong Coffee,instant,2025-01,50-100
94,29-11-2023,27,5,4100,3,80,240,"Card",3,Bengaluru,Instant Coffee Sachet,instant,2023-11,50-100
95,03-06-2023,50,3,45258,1,200,200,"Cash",5,Ahmedabad,Café Latte,latte,2023-06,150-300
96,25-09-2023,58,5,3522,1,80,80,"Card",6,Pune,Instant Coffee Sachet,instant,2023-09,50-100
97,25-08-2024,15,7,189,5,210,1050,"Card",2,Delhi,Mocha,latte,2024-08,150-300
98,09-05-2025,102,11,3422,4,190,760,"UPI",12,Kanpur,Flat White,latte,2025-05,150-300
99,10-09-2025,114,3,2536,1,200,200,"Wallet",14,Indore,Café Latte,latte,2025-09,150-300
100,01-09-2025,59,9,2669,1,230,230,"Card",6,Pune,Affogato,espresso,2025-09,150-300
101,21-04-2025,93,11,4262,1,190,190,"Cash",11,Lucknow,Flat White,latte,2025-04,150-300
102,21-04-2023,5,5,2824,4,80,320,"Cash",1,Mumbai,Instant Coffee Sachet,instant,2023-04,50-100
103,15-08-2023,31,3,45194,1,200,200,"UPI",3,Bengaluru,Café Latte,latte,2023-08,150-300
104,17-07-2023,8,9,1207,1,230,230,"Card",1,Mumbai,Affogato,espresso,2023-07,150-300
105,03-03-2025,140,11,5415,1,190,190,"Card",20,Varanasi,Flat White,latte,2025-03,150-300
106,14-08-2023,98,10,3334,1,90,90,"Cash",12,Kanpur,Instant Strong Coffee,instant,2023-08,50-100
107,16-04-2023,56,1,3490,1,120,120,"Cash",6,Pune,Espresso Shot,espresso,2023-04,100-150
108,12-01-2025,38,4,2570,1,250,250,"Wallet",4,Hyderabad,Cold Brew,filter,2025-01,150-300
109,08-03-2025,31,5,2188,1,80,80,"UPI",3,Bengaluru,Instant Coffee Sachet,instant,2025-03,50-100
110,23-04-2023,80,9,333,2,230,460,"Cash",9,Surat,Affogato,espresso,2023-04,150-300
111,29-05-2025,43,8,9,1,150,150,"Cash",4,Hyderabad,Filter Coffee,filter,2025-05,100-150
112,13-09-2023,112,10,3190,1,90,90,"UPI",14,Indore,Instant Strong Coffee,instant,2023-09,50-100
113,19-01-2024,100,9,666,1,230,230,"Cash",12,Kanpur,Affogato,espresso,2024-01,150-300
114,31-08-2025,86,1,543,1,120,120,"UPI",10,Jaipur,Espresso Shot,espresso,2025-08,100-150
115,04-10-2024,72,2,4969,1,180,180,"Card",8,Kolkata,Cappuccino,latte,2024-10,150-300
116,29-08-2025,14,8,1452,2,150,300,"Card",2,Delhi,Filter Coffee,filter,2025-08,100-150
117,15-07-2024,114,11,1177,1,190,190,"UPI",14,Indore,Flat White,latte,2024-07,150-300
118,17-12-2023,72,5,4058,1,80,80,"Card",8,Kolkata,Instant Coffee Sachet,instant,2023-12,50-100
119,12-02-2024,101,3,3679,3,200,600,"Card",12,Kanpur,Café Latte,latte,2024-02,150-300
120,23-09-2024,106,11,1124,1,190,190,"Card",13,Nagpur,Flat White,latte,2024-09,150-300
121,03-04-2023,24,12,45900,2,240,480,"Cash",3,Bengaluru,Caramel Macchiato,latte,2023-04,150-300
122,01-11-2024,99,1,45569,1,120,120,"Cash",12,Kanpur,Espresso Shot,espresso,2024-11,100-150
123,08-03-2023,18,5,4293,1,80,80,"UPI",2,Delhi,Instant Coffee Sachet,instant,2023-03,50-100
124,12-05-2024,50,4,1902,1,250,250,"UPI",5,Ahmedabad,Cold Brew,filter,2024-05,150-300
125,05-09-2024,81,6,1403,1,220,220,"Cash",9,Surat,Iced Americano,espresso,2024-09,150-300
126,12-02-2023,103,2,649,1,180,180,"UPI",12,Kanpur,Cappuccino,latte,2023-02,150-300
127,27-10-2023,43,11,4940,1,190,190,"UPI",4,Hyderabad,Flat White,latte,2023-10,150-300
128,03-08-2024,57,7,4205,4,210,840,"UPI",6,Pune,Mocha,latte,2024-08,150-300
129,30-08-2024,120,8,2826,1,150,150,"UPI",16,Coimbatore,Filter Coffee,filter,2024-08,100-150
130,29-11-2024,115,2,44993,1,180,180,"UPI",14,Indore,Cappuccino,latte,2024-11,150-300
131,31-07-2025,13,12,45424,2,240,480,"UPI",2,Delhi,Caramel Macchiato,latte,2025-07,150-300
132,16-12-2023,37,7,353,4,210,840,"UPI",4,Hyderabad,Mocha,latte,2023-12,150-300
133,17-07-2023,71,5,44969,1,80,80,"UPI",8,Kolkata,Instant Coffee Sachet,instant,2023-07,50-100
134,14-01-2025,65,2,4377,1,180,180,"UPI",7,Chennai,Cappuccino,latte,2025-01,150-300
135,13-08-2025,119,12,5467,1,240,240,"Cash",15,Bhopal,Caramel Macchiato,latte,2025-08,150-300
136,02-03-2025,20,1,5236,1,120,120,"Card",2,Delhi,Espresso Shot,espresso,2025-03,100-150
137,23-09-2024,138,3,1585,1,200,200,"Cash",19,Vadodara,Café Latte,latte,2024-09,150-300
138,30-09-2025,108,3,2787,2,200,400,"Card",13,Nagpur,Café Latte,latte,2025-09,150-300
139,13-09-2025,113,4,1898,2,250,500,"Card",14,Indore,Cold Brew,filter,2025-09,150-300
140,02-09-2023,30,9,5584,5,230,1150,"UPI",3,Bengaluru,Affogato,espresso,2023-09,150-300
141,10-01-2024,87,4,3684,4,250,1000,"UPI",10,Jaipur,Cold Brew,filter,2024-01,150-300
142,19-07-2025,140,12,3300,1,240,240,"Wallet",20,Varanasi,Caramel Macchiato,latte,2025-07,150-300
143,20-03-2025,117,8,3299,2,150,300,"Card",15,Bhopal,Filter Coffee,filter,2025-03,100-150
144,22-03-2024,104,9,1201,2,230,460,"UPI",12,Kanpur,Affogato,espresso,2024-03,150-300
145,11-02-2025,1,7,692,1,210,210,"UPI",1,Mumbai,Mocha,latte,2025-02,150-300
146,27-04-2023,58,11,5521,1,190,190,"Wallet",6,Pune,Flat White,latte,2023-04,150-300
147,03-11-2024,94,1,4417,5,120,600,"Cash",11,Lucknow,Espresso Shot,espresso,2024-11,100-150
148,20-07-2025,68,7,597,1,210,210,"Card",8,Kolkata,Mocha,latte,2025-07,150-300
149,18-02-2023,45,2,45857,1,180,180,"Card",4,Hyderabad,Cappuccino,latte,2023-02,150-300
150,10-10-2024,117,10,45736,1,90,90,"Card",15,Bhopal,Instant Strong Coffee,instant,2024-10,50-100
151,14-04-2023,69,4,4989,1,250,250,"Card",8,Kolkata,Cold Brew,filter,2023-04,150-300
152,22-05-2025,5,3,310,2,200,400,"Card",1,Mumbai,Café Latte,latte,2025-05,150-300
153,12-05-2023,59,11,3549,4,190,760,"Card",6,Pune,Flat White,latte,2023-05,150-300
154,15-08-2023,65,9,45599,1,230,230,"UPI",7,Chennai,Affogato,espresso,2023-08,150-300
155,23-09-2025,87,12,4535,1,240,240,"Card",10,Jaipur,Caramel Macchiato,latte,2025-09,150-300
156,04-03-2023,73,6,4471,1,220,220,"Wallet",8,Kolkata,Iced Americano,espresso,2023-03,150-300
157,28-07-2024,10,12,751,1,240,240,"UPI",1,Mumbai,Caramel Macchiato,latte,2024-07,150-300
158,06-03-2024,140,7,3913,1,210,210,"Card",20,Varanasi,Mocha,latte,2024-03,150-300
159,02-09-2024,48,1,45799,1,120,120,"UPI",5,Ahmedabad,Espresso Shot,espresso,2024-09,100-150
160,12-03-2024,20,10,5144,1,90,90,"Card",2,Delhi,Instant Strong Coffee,instant,2024-03,50-100
161,22-12-2024,137,8,1229,2,150,300,"Card",19,Vadodara,Filter Coffee,filter,2024-12,100-150
162,06-10-2025,112,9,1261,2,230,460,"UPI",14,Indore,Affogato,espresso,2025-10,150-300
163,14-06-2024,133,10,313,2,90,180,"Card",19,Vadodara,Instant Strong Coffee,instant,2024-06,50-100
164,16-04-2024,135,1,1526,1,120,120,"Card",19,Vadodara,Espresso Shot,espresso,2024-04,100-150
165,11-04-2025,95,1,245,1,120,120,"Cash",11,Lucknow,Espresso Shot,espresso,2025-04,100-150
166,29-07-2025,100,7,2719,1,210,210,"Card",12,Kanpur,Mocha,latte,2025-07,150-300
167,23-05-2024,8,11,2291,3,190,570,"UPI",1,Mumbai,Flat White,latte,2024-05,150-300
168,23-04-2024,88,6,1496,3,220,660,"UPI",10,Jaipur,Iced Americano,espresso,2024-04,150-300
169,30-12-2024,101,4,5009,1,250,250,"Card",12,Kanpur,Cold Brew,filter,2024-12,150-300
170,05-03-2025,35,11,4720,2,190,380,"Card",4,Hyderabad,Flat White,latte,2025-03,150-300
171,27-01-2025,57,4,4691,3,250,750,"UPI",6,Pune,Cold Brew,filter,2025-01,150-300
172,22-08-2024,43,5,5575,3,80,240,"UPI",4,Hyderabad,Instant Coffee Sachet,instant,2024-08,50-100
173,04-07-2025,87,12,45867,1,240,240,"Cash",10,Jaipur,Caramel Macchiato,latte,2025-07,150-300
174,20-05-2025,88,7,4715,1,210,210,"Cash",10,Jaipur,Mocha,latte,2025-05,150-300
175,29-07-2025,57,12,4340,1,240,240,"Card",6,Pune,Caramel Macchiato,latte,2025-07,150-300
176,20-07-2025,27,4,45656,3,250,750,"UPI",3,Bengaluru,Cold Brew,filter,2025-07,150-300
177,23-10-2025,101,6,5291,1,220,220,"UPI",12,Kanpur,Iced Americano,espresso,2025-10,150-300
178,10-06-2025,99,9,4997,1,230,230,"Card",12,Kanpur,Affogato,espresso,2025-06,150-300
179,02-08-2023,74,5,1591,1,80,80,"Card",8,Kolkata,Instant Coffee Sachet,instant,2023-08,50-100
180,30-12-2024,132,10,928,3,90,270,"Card",18,Patna,Instant Strong Coffee,instant,2024-12,50-100
181,07-06-2024,43,1,5773,1,120,120,"UPI",4,Hyderabad,Espresso Shot,espresso,2024-06,100-150
182,22-05-2023,10,2,1722,1,180,180,"UPI",1,Mumbai,Cappuccino,latte,2023-05,150-300
183,30-01-2025,76,8,2686,1,150,150,"UPI",9,Surat,Filter Coffee,filter,2025-01,100-150
184,15-06-2024,45,6,1757,2,220,440,"Card",4,Hyderabad,Iced Americano,espresso,2024-06,150-300
185,07-04-2025,135,2,3492,1,180,180,"UPI",19,Vadodara,Cappuccino,latte,2025-04,150-300
186,14-03-2025,5,10,1227,1,90,90,"Card",1,Mumbai,Instant Strong Coffee,instant,2025-03,50-100
187,15-08-2025,28,5,45656,2,80,160,"UPI",3,Bengaluru,Instant Coffee Sachet,instant,2025-08,50-100
188,07-09-2025,91,3,5044,1,200,200,"Wallet",10,Jaipur,Café Latte,latte,2025-09,150-300
189,08-04-2023,135,8,4957,2,150,300,"UPI",19,Vadodara,Filter Coffee,filter,2023-04,100-150
190,26-01-2024,123,1,1064,1,120,120,"Card",17,Visakhapatnam,Espresso Shot,espresso,2024-01,100-150
191,04-09-2025,143,6,1122,3,220,660,"Card",20,Varanasi,Iced Americano,espresso,2025-09,150-300
192,21-02-2024,110,7,2658,2,210,420,"Card",14,Indore,Mocha,latte,2024-02,150-300
193,26-02-2024,107,8,2290,1,150,150,"UPI",13,Nagpur,Filter Coffee,filter,2024-02,100-150
194,24-03-2024,127,12,2764,5,240,1200,"Cash",18,Patna,Caramel Macchiato,latte,2024-03,150-300
195,12-07-2025,72,9,4820,1,230,230,"UPI",8,Kolkata,Affogato,espresso,2025-07,150-300
196,08-03-2025,82,12,2360,1,240,240,"UPI",9,Surat,Caramel Macchiato,latte,2025-03,150-300
197,20-12-2023,31,2,3508,5,180,900,"UPI",3,Bengaluru,Cappuccino,latte,2023-12,150-300
198,01-05-2024,2,1,2514,1,120,120,"UPI",1,Mumbai,Espresso Shot,espresso,2024-05,100-150
199,18-05-2024,60,2,45343,1,180,180,"Cash",7,Chennai,Cappuccino,latte,2024-05,150-300
200,07-01-2024,30,6,45348,1,220,220,"UPI",3,Bengaluru,Iced Americano,espresso,2024-01,150-300
201,29-05-2025,88,8,1672,1,150,150,"UPI",10,Jaipur,Filter Coffee,filter,2025-05,100-150
202,25-10-2023,47,11,2485,1,190,190,"Card",5,Ahmedabad,Flat White,latte,2023-10,150-300
203,25-06-2024,99,7,5872,1,210,210,"Card",12,Kanpur,Mocha,latte,2024-06,150-300
204,20-04-2024,57,7,5221,2,210,420,"Card",6,Pune,Mocha,latte,2024-04,150-300
205,26-10-2023,75,11,53,1,190,190,"Cash",8,Kolkata,Flat White,latte,2023-10,150-300
206,04-06-2024,43,6,571,1,220,220,"Cash",4,Hyderabad,Iced Americano,espresso,2024-06,150-300
207,15-03-2025,45,12,868,2,240,480,"UPI",4,Hyderabad,Caramel Macchiato,latte,2025-03,150-300
208,01-10-2024,17,3,1174,2,200,400,"Card",2,Delhi,Café Latte,latte,2024-10,150-300
209,08-03-2024,79,10,3090,2,90,180,"Cash",9,Surat,Instant Strong Coffee,instant,2024-03,50-100
210,14-02-2024,134,4,4011,1,250,250,"Card",19,Vadodara,Cold Brew,filter,2024-02,150-300
211,17-07-2025,119,6,1353,2,220,440,"UPI",15,Bhopal,Iced Americano,espresso,2025-07,150-300
212,20-10-2024,23,11,1481,3,190,570,"Card",3,Bengaluru,Flat White,latte,2024-10,150-300
213,20-10-2025,83,5,2976,1,80,80,"UPI",9,Surat,Instant Coffee Sachet,instant,2025-10,50-100
214,20-10-2023,35,7,4680,4,210,840,"UPI",4,Hyderabad,Mocha,latte,2023-10,150-300
215,10-08-2025,24,9,5487,2,230,460,"UPI",3,Bengaluru,Affogato,espresso,2025-08,150-300
216,05-08-2023,142,4,3216,1,250,250,"Cash",20,Varanasi,Cold Brew,filter,2023-08,150-300
217,03-04-2024,113,2,1439,1,180,180,"Card",14,Indore,Cappuccino,latte,2024-04,150-300
218,23-10-2023,51,8,5967,1,150,150,"Card",6,Pune,Filter Coffee,filter,2023-10,100-150
219,15-07-2024,48,1,1414,1,120,120,"Wallet",5,Ahmedabad,Espresso Shot,espresso,2024-07,100-150
220,23-04-2025,55,12,1403,4,240,960,"Card",6,Pune,Caramel Macchiato,latte,2025-04,150-300
221,08-05-2025,84,11,45219,1,190,190,"UPI",9,Surat,Flat White,latte,2025-05,150-300
222,13-05-2024,142,9,1365,1,230,230,"UPI",20,Varanasi,Affogato,espresso,2024-05,150-300
223,14-11-2023,63,10,45143,1,90,90,"UPI",7,Chennai,Instant Strong Coffee,instant,2023-11,50-100
224,19-12-2024,79,5,4007,2,80,160,"Card",9,Surat,Instant Coffee Sachet,instant,2024-12,50-100
225,22-06-2025,127,4,3221,1,250,250,"Cash",18,Patna,Cold Brew,filter,2025-06,150-300
226,18-03-2025,86,5,45488,1,80,80,"Wallet",10,Jaipur,Instant Coffee Sachet,instant,2025-03,50-100
227,27-09-2023,128,10,955,1,90,90,"UPI",18,Patna,Instant Strong Coffee,instant,2023-09,50-100
228,02-07-2023,113,1,1429,1,120,120,"UPI",14,Indore,Espresso Shot,espresso,2023-07,100-150
229,28-03-2024,85,4,4882,1,250,250,"Card",9,Surat,Cold Brew,filter,2024-03,150-300
230,19-09-2025,128,12,4017,2,240,480,"Cash",18,Patna,Caramel Macchiato,latte,2025-09,150-300
231,19-01-2024,36,10,45645,4,90,360,"Card",4,Hyderabad,Instant Strong Coffee,instant,2024-01,50-100
232,16-11-2023,34,3,5532,2,200,400,"UPI",3,Bengaluru,Café Latte,latte,2023-11,150-300
233,18-07-2025,94,7,5949,2,210,420,"Card",11,Lucknow,Mocha,latte,2025-07,150-300
234,11-09-2025,45,1,45196,1,120,120,"Card",4,Hyderabad,Espresso Shot,espresso,2025-09,100-150
235,08-06-2024,120,9,4661,1,230,230,"Card",16,Coimbatore,Affogato,espresso,2024-06,150-300
236,12-10-2023,96,11,1513,1,190,190,"Card",11,Lucknow,Flat White,latte,2023-10,150-300
237,02-10-2025,16,1,2279,4,120,480,"UPI",2,Delhi,Espresso Shot,espresso,2025-10,100-150
238,10-02-2025,100,11,4692,2,190,380,"Card",12,Kanpur,Flat White,latte,2025-02,150-300
239,05-08-2024,29,8,1336,4,150,600,"Cash",3,Bengaluru,Filter Coffee,filter,2024-08,100-150
240,17-01-2024,24,1,5267,1,120,120,"Card",3,Bengaluru,Espresso Shot,espresso,2024-01,100-150
241,31-08-2024,90,11,2481,1,190,190,"UPI",10,Jaipur,Flat White,latte,2024-08,150-300
242,22-01-2025,131,4,1609,3,250,750,"Card",18,Patna,Cold Brew,filter,2025-01,150-300
243,25-02-2024,121,2,4862,1,180,180,"Card",16,Coimbatore,Cappuccino,latte,2024-02,150-300
244,01-06-2025,30,3,5188,1,200,200,"UPI",3,Bengaluru,Café Latte,latte,2025-06,150-300
245,14-12-2024,54,3,5627,3,200,600,"Wallet",6,Pune,Café Latte,latte,2024-12,150-300
246,14-04-2025,105,8,1144,1,150,150,"Card",12,Kanpur,Filter Coffee,filter,2025-04,100-150
247,14-06-2024,23,2,3299,1,180,180,"Cash",3,Bengaluru,Cappuccino,latte,2024-06,150-300
248,16-08-2023,11,2,262,1,180,180,"Card",1,Mumbai,Cappuccino,latte,2023-08,150-300
249,31-01-2024,136,8,45679,1,150,150,"Card",19,Vadodara,Filter Coffee,filter,2024-01,100-150
250,30-07-2025,55,1,1577,1,120,120,"UPI",6,Pune,Espresso Shot,espresso,2025-07,100-150
251,22-04-2023,138,1,3731,1,120,120,"Card",19,Vadodara,Espresso Shot,espresso,2023-04,100-150
252,28-01-2024,78,9,2311,1,230,230,"UPI",9,Surat,Affogato,espresso,2024-01,150-300
253,13-07-2023,6,9,5123,1,230,230,"Cash",1,Mumbai,Affogato,espresso,2023-07,150-300
254,07-08-2024,3,10,1103,1,90,90,"UPI",1,Mumbai,Instant Strong Coffee,instant,2024-08,50-100
255,05-05-2025,33,1,4845,1,120,120,"Cash",3,Bengaluru,Espresso Shot,espresso,2025-05,100-150
256,02-09-2024,90,12,541,2,240,480,"Card",10,Jaipur,Caramel Macchiato,latte,2024-09,150-300
257,06-01-2023,1,4,4661,1,250,250,"UPI",1,Mumbai,Cold Brew,filter,2023-01,150-300
