sale_id,sale_date,store_id,product_id,customer_id,qty,unit_price,total_amount,payment_type
106,2023-08-14,98,10,3334,1,90,90,Cash
107,2023-04-16,56,1,3490,1,120,120,Cash
108,2025-01-12,38,4,2570,1,250,250,Wallet
109,2025-03-08,31,5,2188,1,80,80,UPI
110,2023-04-23,80,9,333,2,230,460,Cash
111,2025-05-29,43,8,9,1,150,150,Cash
112,2023-09-13,112,10,3190,1,90,90,UPI
113,2024-01-19,100,9,666,1,230,230,Cash
114,2025-08-31,86,1,543,1,120,120,UPI
115,2024-10-04,72,2,4969,1,180,180,Card
116,2025-08-29,14,8,1452,2,150,300,Card
117,2024-07-15,114,11,1177,1,190,190,UPI
118,2023-12-17,72,5,4058,1,80,80,Card
119,2024-02-12,101,3,3679,3,200,600,Card
120,2024-09-23,106,11,1124,1,190,190,Card
121,2023-04-03,24,12,45900,2,240,480,Cash
122,2024-11-01,99,1,45569,1,120,120,Cash
123,2023-03-08,18,5,4293,1,80,80,UPI
124,2024-05-12,50,4,1902,1,250,250,UPI
125,2024-09-05,81,6,1403,1,220,220,Cash
126,2023-02-12,103,2,649,1,180,180,UPI
127,2023-10-27,43,11,4940,1,190,190,UPI
128,2024-08-03,57,7,4205,4,210,840,UPI
129,2024-08-30,120,8,2826,1,150,150,UPI
130,2024-11-29,115,2,44993,1,180,180,UPI
131,2025-07-31,13,12,45424,2,240,480,UPI
132,2023-12-16,37,7,353,4,210,840,UPI
133,2023-07-17,71,5,44969,1,80,80,UPI
134,2025-01-14,65,2,4377,1,180,180,UPI
135,2025-08-13,119,12,5467,1,240,240,Cash
136,2025-03-02,20,1,5236,1,120,120,Card
137,2024-09-23,138,3,1585,1,200,200,Cash
138,2025-09-30,108,3,2787,2,200,400,Card
139,2025-09-13,113,4,1898,2,250,500,Card
140,2023-09-02,30,9,5584,5,230,1150,UPI
141,2024-01-10,87,4,3684,4,250,1000,UPI
142,2025-07-19,140,12,3300,1,240,240,Wallet
143,2025-03-20,117,8,3299,2,150,300,Card
144,2024-03-22,104,9,1201,2,230,460,UPI
145,2025-02-11,1,7,692,1,210,210,UPI
146,2023-04-27,58,11,5521,1,190,190,Wallet
147,2024-11-03,94,1,4417,5,120,600,Cash
148,2025-07-20,68,7,597,1,210,210,Card
149,2023-02-18,45,2,45857,1,180,180,Card
150,2024-10-10,117,10,45736,1,90,90,Card
151,2023-04-14,69,4,4989,1,250,250,Card
152,2025-05-22,5,3,310,2,200,400,Card
153,2023-05-12,59,11,3549,4,190,760,Card
154,2023-08-15,65,9,45599,1,230,230,UPI
155,2025-09-23,87,12,4535,1,240,240,Card
156,2023-03-04,73,6,4471,1,220,220,Wallet
157,2024-07-28,10,12,751,1,240,240,UPI
158,2024-03-06,140,7,3913,1,210,210,Card
159,2024-09-02,48,1,45799,1,120,120,UPI
160,2024-03-12,20,10,5144,1,90,90,Card
161,2024-12-22,137,8,1229,2,150,300,Card
162,2025-10-06,112,9,1261,2,230,460,UPI
163,2024-06-14,133,10,313,2,90,180,Card
164,2024-04-16,135,1,1526,1,120,120,Card
165,2025-04-11,95,1,245,1,120,120,Cash
166,2025-07-29,100,7,2719,1,210,210,Card
167,2024-05-23,8,11,2291,3,190,570,UPI
168,2024-04-23,88,6,1496,3,220,660,UPI
169,2024-12-30,101,4,5009,1,250,250,Card
170,2025-03-05,35,11,4720,2,190,380,Card
171,2025-01-27,57,4,4691,3,250,750,UPI
172,2024-08-22,43,5,5575,3,80,240,UPI
173,2025-07-04,87,12,45867,1,240,240,Cash
174,2025-05-20,88,7,4715,1,210,210,Cash
175,2025-07-29,57,12,4340,1,240,240,Card
176,2025-07-20,27,4,45656,3,250,750,UPI
177,2025-10-23,101,6,5291,1,220,220,UPI
178,2025-06-10,99,9,4997,1,230,230,Card
179,2023-08-02,74,5,1591,1,80,80,Card
180,2024-12-30,132,10,928,3,90,270,Card
181,2024-06-07,43,1,5773,1,120,120,UPI
182,2023-05-22,10,2,1722,1,180,180,UPI
183,2025-01-30,76,8,2686,1,150,150,UPI
184,2024-06-15,45,6,1757,2,220,440,Card
185,2025-04-07,135,2,3492,1,180,180,UPI
186,2025-03-14,5,10,1227,1,90,90,Card
187,2025-08-15,28,5,45656,2,80,160,UPI
188,2025-09-07,91,3,5044,1,200,200,Wallet
189,2023-04-08,135,8,4957,2,150,300,UPI
190,2024-01-26,123,1,1064,1,120,120,Card
191,2025-09-04,143,6,1122,3,220,660,Card
192,2024-02-21,110,7,2658,2,210,420,Card
193,2024-02-26,107,8,2290,1,150,150,UPI
194,2024-03-24,127,12,2764,5,240,1200,Cash
195,2025-07-12,72,9,4820,1,230,230,UPI
196,2025-03-08,82,12,2360,1,240,240,UPI
197,2023-12-20,31,2,3508,5,180,900,UPI
198,2024-05-01,2,1,2514,1,120,120,UPI
199,2024-05-18,60,2,45343,1,180,180,Cash
200,2024-01-07,30,6,45348,1,220,220,UPI
201,2025-05-29,88,8,1672,1,150,150,UPI
202,2023-10-25,47,11,2485,1,190,190,Card
203,2024-06-25,99,7,5872,1,210,210,Card
204,2024-04-20,57,7,5221,2,210,420,Card
205,2023-10-26,75,11,53,1,190,190,Cash
206,2024-06-04,43,6,571,1,220,220,Cash
207,2025-03-15,45,12,868,2,240,480,UPI
208,2024-10-01,17,3,1174,2,200,400,Card
209,2024-03-08,79,10,3090,2,90,180,Cash
210,2024-02-14,134,4,4011,1,250,250,Card
211,2025-07-17,119,6,1353,2,220,440,UPI
212,2024-10-20,23,11,1481,3,190,570,Card
213,2025-10-20,83,5,2976,1,80,80,UPI
214,2023-10-20,35,7,4680,4,210,840,UPI
215,2025-08-10,24,9,5487,2,230,460,UPI
216,2023-08-05,142,4,3216,1,250,250,Cash
217,2024-04-03,113,2,1439,1,180,180,Card
218,2023-10-23,51,8,5967,1,150,150,Card
219,2024-07-15,48,1,1414,1,120,120,Wallet
220,2025-04-23,55,12,1403,4,240,960,Card
221,2025-05-08,84,11,45219,1,190,190,UPI
222,2024-05-13,142,9,1365,1,230,230,UPI
223,2023-11-14,63,10,45143,1,90,90,UPI
224,2024-12-19,79,5,4007,2,80,160,Card
225,2025-06-22,127,4,3221,1,250,250,Cash
226,2025-03-18,86,5,45488,1,80,80,Wallet
227,2023-09-27,128,10,955,1,90,90,UPI
228,2023-07-02,113,1,1429,1,120,120,UPI
229,2024-03-28,85,4,4882,1,250,250,Card
230,2025-09-19,128,12,4017,2,240,480,Cash
231,2024-01-19,36,10,45645,4,90,360,Card
232,2023-11-16,34,3,5532,2,200,400,UPI
233,2025-07-18,94,7,5949,2,210,420,Card
234,2025-09-11,45,1,45196,1,120,120,Card
235,2024-06-08,120,9,4661,1,230,230,Card
236,2023-10-12,96,11,1513,1,190,190,Card
237,2025-10-02,16,1,2279,4,120,480,UPI
238,2025-02-10,100,11,4692,2,190,380,Card
239,2024-08-05,29,8,1336,4,150,600,Cash
240,2024-01-17,24,1,5267,1,120,120,Card
241,2024-08-31,90,11,2481,1,190,190,UPI
242,2025-01-22,131,4,1609,3,250,750,Card
243,2024-02-25,121,2,4862,1,180,180,Card
244,2025-06-01,30,3,5188,1,200,200,UPI
245,2024-12-14,54,3,5627,3,200,600,Wallet
246,2025-04-14,105,8,1144,1,150,150,Card
247,2024-06-14,23,2,3299,1,180,180,Cash
248,2023-08-16,11,2,262,1,180,180,Card
249,2024-01-31,136,8,45679,1,150,150,Card
250,2025-07-30,55,1,1577,1,120,120,UPI
251,2023-04-22,138,1,3731,1,120,120,Card
252,2024-01-28,78,9,2311,1,230,230,UPI
253,2023-07-13,6,9,5123,1,230,230,Cash
254,2024-08-07,3,10,1103,1,90,90,UPI
255,2025-05-05,33,1,4845,1,120,120,Cash
256,2024-09-02,90,12,541,2,240,480,Card
257,2023-01-06,1,4,4661,1,250,250,UPI
258,2023-04-14,128,1,1875,4,120,480,UPI
259,2023-10-21,71,4,2942,1,250,250,Card
260,2024-01-31,100,5,1068,1,80,80,UPI
261,2025-02-08,20,12,211,1,240,240,Card
262,2024-12-07,14,7,5032,1,210,210,UPI
263,2025-05-05,127,5,4908,1,80,80,UPI
264,2025-06-25,22,7,4840,1,210,210,UPI
265,2024-03-06,33,5,877,1,80,80,UPI
266,2025-03-04,41,11,63,1,190,190,Card
267,2025-05-31,74,1,1022,1,120,120,UPI
268,2024-10-15,104,8,5242,1,150,150,UPI
269,2023-11-06,79,10,3628,1,90,90,Card
270,2024-02-17,90,6,1413,4,220,880,UPI
271,2023-03-21,28,3,2058,1,200,200,UPI
272,2024-10-26,12,9,971,2,230,460,Card
273,2025-09-02,10,4,3380,1,250,250,UPI
274,2025-01-30,103,5,738,1,80,80,UPI
275,2025-07-13,11,9,799,2,230,460,Card
276,2023-06-17,115,2,250,2,180,360,UPI
277,2025-01-10,88,12,692,1,240,240,UPI
278,2024-11-10,116,2,3785,2,180,360,UPI
279,2024-08-24,13,5,4348,4,80,320,Card
280,2024-05-01,52,7,5768,1,210,210,UPI
281,2023-07-05,112,3,4327,1,200,200,UPI
282,2023-08-06,110,10,244,1,90,90,Card
283,2023-10-09,86,4,45094,2,250,500,Card
284,2023-07-10,104,3,3601,3,200,600,Cash
285,2024-07-15,101,7,647,1,210,210,UPI
286,2023-03-26,62,3,3892,1,200,200,UPI
287,2023-03-05,69,7,821,1,210,210,UPI
288,2023-04-20,7,2,415,1,180,180,Card
289,2024-03-06,120,2,45144,1,180,180,Card
290,2023-06-16,68,10,4523,1,90,90,Card
291,2025-05-02,70,10,2043,1,90,90,Card
292,2025-04-11,82,3,5002,1,200,200,UPI
293,2024-02-21,77,11,4071,3,190,570,UPI
294,2023-07-17,136,8,5309,1,150,150,Card
295,2023-05-29,113,11,3397,1,190,190,Card
296,2024-10-19,75,2,3130,4,180,720,UPI
297,2023-11-15,125,5,45093,1,80,80,Card
298,2023-03-04,64,4,2641,1,250,250,UPI
299,2025-10-22,132,11,2369,1,190,190,Cash
300,2025-05-30,115,1,2164,1,120,120,UPI
301,2023-04-04,36,1,418,1,120,120,Cash
302,2023-01-16,139,3,3365,1,200,200,UPI
303,2023-06-23,8,11,5143,1,190,190,Cash
304,2024-06-08,140,2,5607,2,180,360,Card
305,2025-08-27,132,10,4790,1,90,90,UPI
306,2024-03-06,29,2,45952,4,180,720,Card
307,2024-03-17,138,9,2374,3,230,690,Card
308,2024-10-29,19,9,45020,3,230,690,UPI
309,2024-01-09,36,3,3697,4,200,800,Cash
310,2023-12-25,134,9,1910,1,230,230,UPI
311,2023-12-09,130,6,95,1,220,220,UPI
312,2025-08-18,7,5,3431,1,80,80,Card
313,2025-07-26,24,3,3116,1,200,200,UPI
314,2025-06-05,104,2,5473,1,180,180,UPI
315,2024-02-19,128,11,2216,2,190,380,Card
316,2025-05-08,109,9,45300,1,230,230,Card
317,2024-07-03,101,10,45285,1,90,90,Cash
318,2024-01-03,13,5,2906,1,80,80,UPI
319,2023-08-24,23,10,2905,1,90,90,Card
320,2023-02-05,142,11,3994,1,190,190,Cash
321,2025-05-10,142,9,5922,1,230,230,UPI
322,2025-06-26,118,10,5396,1,90,90,UPI
323,2024-05-07,75,11,4955,3,190,570,Card
324,2023-12-08,73,10,4480,1,90,90,UPI
325,2023-09-24,110,1,4192,1,120,120,UPI
326,2024-08-18,3,3,838,1,200,200,UPI
327,2023-11-12,92,10,5164,1,90,90,Card
328,2025-04-21,33,1,4702,4,120,480,Card
329,2025-08-15,69,9,5708,1,230,230,Card
330,2023-01-28,112,3,45419,1,200,200,UPI
331,2023-09-07,135,8,559,1,150,150,Card
332,2023-05-22,17,2,1757,5,180,900,UPI
333,2025-06-06,64,6,4913,1,220,220,UPI
334,2025-08-12,53,12,1906,1,240,240,Card
335,2024-02-24,1,6,2037,1,220,220,UPI
336,2025-01-25,143,9,2724,2,230,460,Card
337,2023-07-13,43,6,44954,1,220,220,UPI
338,2023-05-29,38,5,798,1,80,80,Card
339,2024-01-18,50,12,232,2,240,480,UPI
340,2024-09-23,17,8,3967,3,150,450,Cash
341,2023-12-10,17,9,2120,1,230,230,Card
342,2024-01-11,140,11,4433,4,190,760,Card
343,2024-12-14,103,8,1192,1,150,150,UPI
344,2025-08-04,70,7,857,2,210,420,Cash
345,2023-09-15,48,7,2172,1,210,210,Card
346,2023-09-27,138,10,2040,1,90,90,Card
347,2023-12-09,141,8,4152,1,150,150,UPI
348,2024-03-10,24,6,2140,4,220,880,Cash
349,2023-06-16,13,2,1105,2,180,360,Card
350,2023-01-05,15,11,2960,1,190,190,Cash
351,2024-01-06,12,6,3887,1,220,220,Card
352,2024-04-24,16,4,4406,2,250,500,Card
353,2024-11-07,102,4,2037,1,250,250,Card
354,2025-06-19,33,2,2130,1,180,180,Card
355,2025-07-20,98,8,203,1,150,150,Card
356,2024-08-23,78,3,4755,1,200,200,UPI
357,2024-11-24,97,7,2245,2,210,420,Card
358,2023-11-28,143,10,4076,1,90,90,UPI
359,2023-12-27,112,5,2546,1,80,80,Cash
360,2023-06-05,126,8,240,1,150,150,Card
361,2023-05-08,79,6,45827,1,220,220,Card
362,2024-09-26,8,7,3028,1,210,210,UPI
363,2024-11-20,98,3,45527,1,200,200,UPI
364,2024-11-18,75,1,5183,1,120,120,Card
365,2023-08-22,59,1,5532,1,120,120,Cash
366,2024-08-20,31,3,1484,4,200,800,Card
367,2025-08-13,110,8,3883,1,150,150,UPI
368,2024-08-13,81,10,228,1,90,90,UPI
369,2023-02-05,26,2,4124,2,180,360,UPI
370,2025-04-20,133,11,492,1,190,190,Cash
371,2024-02-27,138,1,4824,1,120,120,UPI
372,2023-11-15,127,9,649,1,230,230,Card
373,2025-02-02,92,8,45524,3,150,450,Cash
374,2024-11-09,70,8,5885,1,150,150,UPI
375,2025-03-24,43,11,624,1,190,190,UPI
376,2024-06-15,43,1,2059,1,120,120,Card
377,2024-05-15,123,6,2833,1,220,220,Card
378,2023-02-02,137,1,2871,4,120,480,Card
379,2025-02-14,95,5,45245,1,80,80,UPI
380,2025-02-27,143,12,4125,1,240,240,UPI
381,2025-08-14,69,1,3517,1,120,120,Card
382,2024-08-25,74,11,1194,2,190,380,Cash
383,2024-11-17,20,2,1586,1,180,180,Card
384,2025-07-31,115,5,5037,2,80,160,Card
385,2023-11-16,126,11,44959,2,190,380,Wallet
386,2024-08-02,116,8,45702,1,150,150,UPI
387,2023-08-13,76,11,1363,1,190,190,UPI
388,2023-05-01,143,9,1391,2,230,460,Cash
389,2025-07-22,91,12,4448,1,240,240,Cash
390,2024-08-09,100,4,2089,1,250,250,Card
391,2023-09-19,9,7,1881,1,210,210,Card
392,2024-09-19,38,5,1880,1,80,80,UPI
393,2023-11-18,79,1,5735,2,120,240,Card
394,2023-12-05,132,2,3247,1,180,180,Card
395,2024-05-03,132,2,2830,5,180,900,UPI
396,2024-07-02,66,11,45860,1,190,190,UPI
397,2024-09-21,137,4,2963,1,250,250,Card
398,2024-03-01,56,8,4526,1,150,150,Card
399,2024-01-22,83,4,1011,1,250,250,Card
400,2024-03-27,129,9,4415,2,230,460,Cash
401,2023-12-25,146,10,4804,1,90,90,Card
402,2024-08-12,16,5,45415,1,80,80,Card
403,2025-07-21,35,8,3682,1,150,150,UPI
404,2024-12-30,60,1,5972,5,120,600,Card
405,2023-02-07,98,12,2194,1,240,240,UPI
406,2025-05-25,143,11,3683,1,190,190,UPI
407,2024-01-15,146,2,924,5,180,900,Card
408,2025-09-29,128,1,1288,4,120,480,Card
409,2023-04-11,45,9,45516,3,230,690,Card
410,2024-12-03,143,4,993,1,250,250,UPI
411,2023-02-03,48,4,18,1,250,250,Card
412,2024-08-27,99,8,939,1,150,150,UPI
413,2025-06-07,143,11,3165,1,190,190,Card
414,2024-06-20,76,4,762,1,250,250,Cash
415,2024-07-12,61,9,2616,1,230,230,Card
416,2024-08-14,22,10,389,2,90,180,UPI
417,2023-02-01,141,11,2580,1,190,190,Cash
418,2025-02-01,81,11,286,1,190,190,Card
419,2024-11-08,5,8,3312,3,150,450,UPI
420,2024-11-22,72,6,45815,1,220,220,UPI
421,2024-10-20,20,6,5645,1,220,220,UPI
422,2023-05-19,100,7,605,1,210,210,Card
423,2024-11-10,95,5,45518,2,80,160,Card
424,2024-02-01,58,5,3662,1,80,80,UPI
425,2024-06-24,69,10,4283,1,90,90,UPI
426,2023-12-22,144,4,4492,1,250,250,Card
427,2024-02-23,97,9,4626,1,230,230,UPI
428,2024-07-23,118,1,4424,1,120,120,Card
429,2024-02-08,145,2,5588,1,180,180,Card
430,2025-01-13,19,6,4845,1,220,220,UPI
431,2023-09-03,20,10,3089,1,90,90,Card
432,2023-09-19,33,1,45467,1,120,120,Cash
433,2023-12-07,92,8,5170,1,150,150,Card
434,2025-06-28,48,7,645,1,210,210,UPI
435,2025-09-28,95,3,45496,2,200,400,UPI
436,2025-03-14,131,6,45330,1,220,220,Card
437,2025-07-19,75,12,1131,1,240,240,UPI
438,2025-04-04,48,2,5514,2,180,360,Card
439,2023-11-01,38,5,5840,1,80,80,Cash
440,2023-02-26,112,5,1155,1,80,80,Card
441,2024-08-15,132,10,438,2,90,180,Cash
442,2024-07-20,68,12,2183,3,240,720,UPI
443,2023-03-16,142,6,3055,1,220,220,Cash
444,2023-12-22,82,7,1036,1,210,210,Card
445,2023-05-20,33,6,1,2,220,440,UPI
446,2023-09-04,13,2,1799,3,180,540,Cash
447,2023-05-24,105,5,44983,1,80,80,UPI
448,2025-08-14,35,5,3851,5,80,400,Card
449,2025-05-08,144,10,5908,3,90,270,UPI
450,2023-03-19,15,2,5341,4,180,720,Cash
451,2024-01-24,47,3,5875,1,200,200,UPI
452,2023-05-04,108,2,4443,3,180,540,Card
453,2025-03-26,96,1,483,2,120,240,Cash
454,2024-02-01,16,2,3046,4,180,720,Card
455,2024-12-04,119,2,45883,1,180,180,UPI
456,2023-08-20,110,2,358,2,180,360,UPI
457,2024-03-31,113,1,1116,1,120,120,UPI
458,2023-08-09,19,7,5575,1,210,210,Wallet
459,2024-11-08,66,12,5355,1,240,240,Card
460,2024-03-08,80,9,5728,1,230,230,Cash
461,2023-10-16,37,10,3385,1,90,90,Card
462,2023-12-22,106,6,2107,1,220,220,Card
463,2024-09-28,30,7,722,4,210,840,Card
464,2024-04-29,132,3,45382,1,200,200,UPI
465,2023-09-16,138,2,5943,2,180,360,UPI
466,2025-03-19,86,1,4600,1,120,120,UPI
467,2023-04-14,47,2,2432,1,180,180,Cash
468,2023-12-27,93,8,1983,1,150,150,Cash
469,2023-05-24,108,9,2237,4,230,920,UPI
470,2025-08-22,110,8,4489,1,150,150,Card
471,2023-03-23,65,5,45411,1,80,80,Card
472,2025-06-08,46,6,3135,3,220,660,Card
473,2025-10-13,77,7,45735,1,210,210,UPI
474,2023-10-01,14,8,2267,2,150,300,UPI
475,2024-03-23,115,10,656,1,90,90,UPI
476,2025-05-01,53,10,80,1,90,90,Card
477,2024-12-31,86,6,4042,1,220,220,UPI
478,2024-10-19,8,11,45008,1,190,190,UPI
479,2023-09-18,22,2,4158,4,180,720,UPI
480,2024-01-02,5,3,2417,2,200,400,UPI
481,2023-01-27,100,1,1452,1,120,120,UPI
482,2023-10-31,95,4,2196,1,250,250,UPI
483,2025-07-25,46,1,45778,1,120,120,UPI
484,2023-04-30,81,10,488,1,90,90,Cash
485,2023-04-15,13,2,2763,1,180,180,Card
486,2023-06-07,47,6,45187,1,220,220,Card
487,2024-02-22,67,8,5060,1,150,150,UPI
488,2023-10-05,12,8,3629,2,150,300,Cash
489,2025-04-09,119,10,2899,2,90,180,Card
490,2023-07-12,94,11,1890,1,190,190,Cash
491,2024-12-19,13,1,45046,1,120,120,Card
492,2025-05-09,56,5,100,1,80,80,Cash
493,2024-07-27,31,1,1033,3,120,360,Cash
494,2023-10-05,110,1,5724,4,120,480,UPI
495,2023-08-26,19,9,5026,3,230,690,Wallet
496,2025-04-09,87,10,1428,4,90,360,UPI
497,2023-10-18,63,6,2790,1,220,220,UPI
498,2024-01-17,19,1,3989,1,120,120,Card
499,2023-01-14,5,7,4486,1,210,210,Card
500,2024-05-20,113,8,5698,3,150,450,Wallet
501,2023-09-24,129,5,1027,2,80,160,Wallet
502,2024-02-28,50,10,2513,1,90,90,Wallet
503,2025-03-08,96,4,3217,1,250,250,UPI
504,2023-02-02,41,6,1786,1,220,220,UPI
505,2025-02-17,3,2,3109,1,180,180,UPI
506,2025-02-22,101,3,3764,1,200,200,UPI
507,2023-03-30,16,11,4692,2,190,380,UPI
508,2024-09-03,57,5,781,1,80,80,Card
509,2023-07-29,9,10,3456,2,90,180,UPI
510,2023-09-17,63,1,4432,1,120,120,UPI
511,2023-03-17,65,4,956,1,250,250,UPI
512,2024-12-29,57,3,54,1,200,200,Card
513,2023-08-31,117,6,4609,1,220,220,Wallet
514,2023-07-25,116,6,45015,2,220,440,UPI
515,2024-01-11,109,5,381,1,80,80,Cash
516,2025-08-04,108,11,1468,2,190,380,Cash
517,2024-07-24,37,8,4266,1,150,150,UPI
518,2025-06-10,119,1,1033,1,120,120,UPI
519,2024-03-09,24,6,1849,2,220,440,Card
520,2024-12-19,47,4,1379,1,250,250,Card
521,2024-01-17,44,2,4297,2,180,360,Card
522,2024-12-07,126,12,2999,1,240,240,UPI
523,2023-09-30,29,9,4388,1,230,230,Card
524,2023-06-20,21,12,2564,1,240,240,Card
525,2024-01-21,121,3,772,1,200,200,Card
526,2023-09-09,13,6,45360,1,220,220,Card
527,2025-09-21,56,2,3076,1,180,180,UPI
528,2025-07-30,123,3,2262,1,200,200,Cash
529,2023-03-07,14,11,4210,1,190,190,Card
530,2023-04-15,123,3,1456,1,200,200,Card
531,2024-08-09,138,3,1874,1,200,200,Cash
532,2023-07-31,16,5,2284,1,80,80,UPI
533,2023-01-01,55,12,4300,2,240,480,UPI
534,2024-03-22,93,10,1608,2,90,180,Card
535,2024-12-16,4,3,1703,4,200,800,UPI
536,2025-04-01,39,4,44992,1,250,250,UPI
537,2025-01-31,92,3,846,1,200,200,Card
538,2024-09-05,11,3,3424,1,200,200,UPI
539,2025-05-04,65,7,5589,5,210,1050,UPI
540,2025-04-21,60,8,2916,1,150,150,Card
541,2024-09-19,138,4,582,1,250,250,Card
542,2025-03-26,23,7,5618,4,210,840,UPI
543,2024-12-25,77,7,45748,1,210,210,Cash
544,2025-10-02,136,4,239,1,250,250,Cash
545,2025-03-18,139,5,3172,1,80,80,UPI
